EstablishmentID,InspectionID,Ins_TypeDesc,EstablishmentName,PlaceName,Address,Address2,City,State,Zip,TypeDescription,InspectionDate,score,Grade,NameSearch,Intersection,OBJECTID
86177,1709054,REGULAR,GARDINER POINT RESIDENCE HALL,,4004 GARDINER POINT DR,,LOUISVILLE,KY,40213,FOOD SERVICE,2022/10/13 00:00:00,97,A,GARDINER POINT RESIDENCE HALL,,3345
86217,1664761,REGULAR,DOLLAR GENERAL #12410,,3943 TAYLORSVILLE RD,,LOUISVILLE,KY,40220,PRE-PACKAGED RETAIL,2022/04/12 00:00:00,100,,DOLLAR GENERAL #12410,,3346
86218,1672912,REGULAR,SUNERGOS COFFEE,,306 W WOODLAWN AVE,,LOUISVILLE,KY,40214,FOOD SERVICE,2022/05/17 00:00:00,100,A,SUNERGOS COFFEE,,3347
86218,1713827,REGULAR,SUNERGOS COFFEE,,306 W WOODLAWN AVE,,LOUISVILLE,KY,40214,FOOD SERVICE,2022/11/01 00:00:00,99,A,SUNERGOS COFFEE,,3348
86223,1708130,REGULAR,KIDZ CLUB PORTLAND LLC,,225 N 25TH ST,,LOUISVILLE,KY,40212,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,2022/10/11 00:00:00,100,A,KIDZ CLUB PORTLAND LLC,,3349
86228,1668722,REGULAR,SUBWAY,,8104 NATIONAL TURNPIKE,,LOUISVILLE,KY,40214,FOOD SERVICE,2022/04/28 00:00:00,94,A,SUBWAY,,3350
86228,1709743,REGULAR,SUBWAY,,8104 NATIONAL TURNPIKE,,LOUISVILLE,KY,40214,FOOD SERVICE,2022/10/17 00:00:00,95,A,SUBWAY,,3351
86228,1722905,FOLLOWUP,SUBWAY,,8104 NATIONAL TURNPIKE,,LOUISVILLE,KY,40214,FOOD SERVICE,2022/11/01 00:00:00,,,SUBWAY,,3352
86228,1722904,COMPLAINT,SUBWAY,,8104 NATIONAL TURNPIKE,,LOUISVILLE,KY,40214,FOOD SERVICE,2022/10/17 00:00:00,,,SUBWAY,,3353
86326,1676651,REGULAR,DEAL MASTER,,6115 BLEVINS GAP RD,,LOUISVILLE,KY,40272,SUPERMARKET WITH PROCESSING,2022/06/02 00:00:00,98,,DEAL MASTER,,3354
86330,1659850,REGULAR,ZOE'S KITCHEN,,4126 SUMMIT PLAZA DR,,LOUISVILLE,KY,40241,FOOD SERVICE,2022/03/21 00:00:00,96,A,ZOE'S KITCHEN,,3355
86330,1706670,REGULAR,ZOE'S KITCHEN,,4126 SUMMIT PLAZA DR,,LOUISVILLE,KY,40241,FOOD SERVICE,2022/10/05 00:00:00,98,A,ZOE'S KITCHEN,,3356
86388,1677258,REGULAR,MI PREFERIDA,,4752 BARDSTOWN RD,,LOUISVILLE,KY,40218,"RETAIL-FOOD  10,000 SQ FT OR LESS",2022/06/06 00:00:00,98,A,MI PREFERIDA,,3357
86388,1677259,REGULAR,MI PREFERIDA,,4752 BARDSTOWN RD,,LOUISVILLE,KY,40218,"RETAIL-FOOD  10,000 SQ FT OR LESS",2022/06/06 00:00:00,98,,MI PREFERIDA,,3358
86388,1715680,REGULAR,MI PREFERIDA,,4752 BARDSTOWN RD,,LOUISVILLE,KY,40218,"RETAIL-FOOD  10,000 SQ FT OR LESS",2022/11/09 00:00:00,98,A,MI PREFERIDA,,3359
86388,1715681,REGULAR,MI PREFERIDA,,4752 BARDSTOWN RD,,LOUISVILLE,KY,40218,"RETAIL-FOOD  10,000 SQ FT OR LESS",2022/11/09 00:00:00,98,,MI PREFERIDA,,3360
86389,1689186,REGULAR,LITTLE CAESARS,,10274 SHELBYVILLE RD,,LOUISVILLE,KY,40222,FOOD SERVICE,2022/07/26 00:00:00,97,A,LITTLE CAESARS,,3361
86389,1720485,REGULAR,LITTLE CAESARS,,10274 SHELBYVILLE RD,,LOUISVILLE,KY,40222,FOOD SERVICE,2022/12/01 00:00:00,96,A,LITTLE CAESARS,,3362
86390,1660528,REGULAR,SUBWAY,,8056 NEW LAGRANGE RD,,LOUISVILLE,KY,40222,FOOD SERVICE,2022/03/23 00:00:00,98,A,SUBWAY,,3363
86390,1701543,REGULAR,SUBWAY,,8056 NEW LAGRANGE RD,,LOUISVILLE,KY,40222,FOOD SERVICE,2022/09/13 00:00:00,100,A,SUBWAY,,3364
86399,1680010,REGULAR,ZAXBY'S #38101,,807 BLANKENBAKER PKWY,,LOUISVILLE,KY,40243,FOOD SERVICE,2022/06/14 00:00:00,98,A,ZAXBY'S #38101,,3365
86399,1716448,REGULAR,ZAXBY'S #38101,,807 BLANKENBAKER PKWY,,LOUISVILLE,KY,40243,FOOD SERVICE,2022/11/11 00:00:00,99,A,ZAXBY'S #38101,,3366
86553,1670333,FOLLOWUP,WAFFLE HOUSE #1887,,10563 DIXIE HWY,,LOUISVILLE,KY,40272,FOOD SERVICE,2022/05/05 00:00:00,96,A,WAFFLE HOUSE #1887,,3367
86553,1669261,REGULAR,WAFFLE HOUSE #1887,,10563 DIXIE HWY,,LOUISVILLE,KY,40272,FOOD SERVICE,2022/05/02 00:00:00,93,C,WAFFLE HOUSE #1887,,3368
86553,1713375,REGULAR,WAFFLE HOUSE #1887,,10563 DIXIE HWY,,LOUISVILLE,KY,40272,FOOD SERVICE,2022/10/31 00:00:00,99,A,WAFFLE HOUSE #1887,,3369
86561,1693760,REGULAR,MASTERSON'S CATERING,,1231 LEXINGTON RD,,LOUISVILLE,KY,40204,CATERERS,2022/08/11 00:00:00,98,A,MASTERSON'S CATERING,,3370
86623,1669894,REGULAR,SUBWAY,,5907 TIMBER RIDGE DR,,PROSPECT,KY,40059,FOOD SERVICE,2022/05/04 00:00:00,97,A,SUBWAY,,3371
86623,1713440,REGULAR,SUBWAY,,5907 TIMBER RIDGE DR,,PROSPECT,KY,40059,FOOD SERVICE,2022/10/31 00:00:00,99,A,SUBWAY,,3372
86626,1672337,REGULAR,ADDIS BAR & GRILL,,109 S 4TH ST,,LOUISVILLE,KY,40202,FOOD SERVICE,2022/05/10 00:00:00,100,A,ADDIS BAR & GRILL,,3373
86626,1729721,FOLLOWUP,ADDIS BAR & GRILL,,109 S 4TH ST,,LOUISVILLE,KY,40202,FOOD SERVICE,2023/01/19 00:00:00,100,A,ADDIS BAR & GRILL,,3374
